record_id,date,program,component,issue_type,description,root_cause,resolution,severity
DR-001,2024-03-12,Program-A,Door latch bracket,Weld quality,Spot weld separation found at end-of-line pull test on LH door latch bracket,Electrode wear beyond dressing interval reduced current density below nugget formation threshold,Installed electrode life counter with forced dressing at 400 welds,High
DR-002,2024-04-02,Program-A,Battery module housing,Tolerancing,Housing bosses interfere with harness routing clip when stackup is at max material condition,Tolerance stackup not analyzed across supplier datum scheme change,Revised GD&T datum scheme and added stackup analysis to review checklist,Medium
DR-003,2024-05-18,Program-B,Seat rail,Fastener,Seat rail bolts loosening in vibration test,Missing thread locker callout on drawing after revision C,Added thread locker note and torque-to-yield spec on drawing,High
DR-004,2024-06-07,Program-A,Cooling plate,DFM,Cooling plate channel walls below minimum millable thickness for supplier tooling,Design used 0.8mm walls; supplier minimum is 1.2mm for aluminum,Increased wall thickness to 1.5mm and validated pressure drop by CFD,Medium
DR-005,2024-07-22,Program-B,Wire harness,Routing,Harness chafes on sheet metal edge near B-pillar after 10k door cycles,No edge protection specified where harness crosses stamped edge,Added edge grommet and revised routing clip positions,High
DR-006,2024-08-15,Program-A,Instrument panel,Fit and finish,Gap and flush out of spec between IP and door trim at customer perceivable zone,Locator pin position tolerance too loose for A-surface alignment,Tightened locator tolerance and added net pad at datum,Medium
DR-007,2024-09-03,Program-C,12V battery tray,Corrosion,Corrosion found on battery tray fasteners after salt spray test,Dissimilar metal contact between zinc-plated bolt and aluminum tray,Changed to stainless fastener with isolation washer,Medium
DR-008,2024-10-11,Program-B,Tailgate hinge,Weld quality,Weld porosity in tailgate hinge bracket detected by X-ray sampling,Contaminated weld wire from improper storage humidity,Enforced wire storage controls and added porosity check to first article,High
DR-009,2024-11-05,Program-A,HVAC duct,Tolerancing,HVAC duct snap features fail to engage on 3 percent of units,Snap engagement not verified at tolerance extremes; molded part shrinkage variation,Revised snap geometry and added mold flow verification at review,Low
DR-010,2024-12-09,Program-C,Charge port door,Mechanism,Charge port door fails to open below minus 20C,Grease specification not rated for low temperature; actuator torque margin too low,Changed to low-temp grease and increased actuator torque margin 30 percent,High
DR-011,2025-01-20,Program-B,Roof rail,DFM,Roof rail stamping shows splits at draw radius in tryout,Draw radius below minimum for material grade; blank holder force window too narrow,Increased radius and specified new blank holder force with forming simulation,High
DR-012,2025-02-14,Program-A,Busbar,Electrical,Busbar joint resistance above spec on 2 percent of modules,Insufficient clamp load due to torque relaxation in polymer stack,Added conical washer and re-torque step; changed to time-torque-angle monitoring,High
DR-013,2025-03-08,Program-C,Underbody shield,Fastener,Underbody shield fasteners strip during service removal,Self-tapping screws into thin gauge steel lose thread engagement after reinstallation,Changed to nut clip retention allowing repeated service removal,Low
DR-014,2025-04-17,Program-B,Cooling plate,Weld quality,Friction stir weld lack of penetration on cooling plate perimeter,Tool plunge depth drifted after spindle maintenance; no depth verification step,Added plunge depth verification coupon at shift start,High
DR-015,2025-05-26,Program-A,Door seal,Fit and finish,Wind noise complaint traced to door seal gap at mirror sail area,Seal section compressed beyond design range due to sheet metal springback variation,Revised seal section profile and added springback compensation in die,Medium
